%Runtime 20151211,  Coefs: 0.9806 / 0.077
%nrec yyyy MM dd hh mm ss lat lon Ts
428 2015 10 11 20 50 52 36.01191 -75.21758 21.771
429 2015 10 11 20 57 05 36.01415 -75.21568 21.776
430 2015 10 11 21 00 12 36.01591 -75.21509 21.851
431 2015 10 11 21 03 19 36.01878 -75.21419 21.917
432 2015 10 11 21 09 32 36.02910 -75.21385 22.049
433 2015 10 11 22 49 24 36.18733 -75.21414 21.171
434 2015 10 11 22 55 36 36.19716 -75.21354 21.127
435 2015 10 11 22 58 43 36.20222 -75.21313 21.190
436 2015 10 11 23 04 58 36.21172 -75.21230 21.205
437 2015 10 11 23 08 04 36.21671 -75.21189 21.239
438 2015 10 11 23 11 10 36.22163 -75.21163 21.287
439 2015 10 11 23 17 24 36.23157 -75.21151 21.207
440 2015 10 11 23 20 31 36.23643 -75.21153 21.261
441 2015 10 11 23 23 39 36.24136 -75.21156 21.259
442 2015 10 11 23 33 00 36.25608 -75.21174 21.358
443 2015 10 11 23 36 06 36.26126 -75.21180 21.359
444 2015 10 11 23 39 16 36.26634 -75.21188 21.338
445 2015 10 11 23 42 23 36.27166 -75.21204 21.339
446 2015 10 11 23 45 30 36.27683 -75.21223 21.347
447 2015 10 11 23 48 37 36.28172 -75.21249 21.347
448 2015 10 11 23 51 44 36.28706 -75.21279 21.350
449 2015 10 12 00 04 10 36.30809 -75.21384 21.235
450 2015 10 12 00 07 16 36.31319 -75.21397 21.204
451 2015 10 12 00 19 42 36.33371 -75.21409 21.124
452 2015 10 12 00 22 49 36.33880 -75.21463 20.968
453 2015 10 12 00 25 56 36.34410 -75.21536 20.929
454 2015 10 12 00 32 09 36.35138 -75.21586 20.897
455 2015 10 12 00 35 15 36.35405 -75.21515 20.910
456 2015 10 12 00 38 22 36.35825 -75.21370 20.871
457 2015 10 12 00 41 28 36.36415 -75.21328 20.889
